Sort Time,Comparisons,Swaps
0.001266,5575,999
0.001234,5575,999
0.001213,5575,999
0.001220,5575,999
0.001126,5575,999
0.001028,5575,999
0.001006,5575,999
0.001016,5575,999
0.001118,5575,999
0.001146,5575,999
0.001013,5575,999
0.001041,5575,999
0.001028,5575,999
0.001000,5575,999
0.001001,5575,999
0.000995,5575,999
0.001007,5575,999
0.001103,5575,999
0.001004,5575,999
0.001186,5575,999
0.001000,5575,999
0.001017,5575,999
0.001095,5575,999
0.001160,5575,999
0.001052,5575,999
0.001024,5575,999
0.001066,5575,999
0.000998,5575,999
0.000995,5575,999
0.001027,5575,999
